title,location2,present_as,audience_type,date,audience_desc,location1
Address by the President of Ukraine to the Danish people on the anniversary of the liberation of Denmark from the Nazis,Denmark,Virtual,Address to Danish people at the celebration of the anniversary of the liberation of Denmark from the Nazis,4/05/2022,NA,Denmark
Speech by President Volodymyr Zelenskyy at the High-Level International Donors' Conference in Support of Ukraine in Warsaw,Internaitonal donors,Virtual,Multi-national,5/05/2022,Speech at the high-level international donors' conference in support of ukraine in warsaw,Poland
"Address by President Volodymyr Zelenskyy to the participants of the Brave Ukraine Charity Event, the people of Great Britain and the people of Ukraine",United Kingdom,Virtual,National,5/05/2022,Address to the participants of the brave ukraine charity event,United Kingdom
Speech by President of Ukraine Volodymyr Zelenskyy at Chatham House,United Kingdom,Virtual,Multi-national,6/05/2022,Speech at chatham house,United Kingdom
"Speech by the President of Ukraine in the Althing, the Parliament of Iceland",Iceland,Virtual,National,6/05/2022,Speech to the parliament of iceland,Iceland
Speech by the President of Ukraine at the video conference of the G7 leaders," Canada, France, Germany, Italy, Japan, the United Kingdom, and the United States, the European Union.",Virtual,Multi-national,8/05/2022,Speech to the g7 leaders,Germany
Speech by the President of Ukraine at the National Council of the Slovak Republic,Slovakia,Virtual,National,10/05/2022,Speech at the national council of the slovak republic,Slovakia
Speech by President of Ukraine Volodymyr Zelenskyy to students of leading French universities,France,Virtual,National,11/05/2022,Speech to students of leading french universities,France
Speech by the President of Ukraine at The Atlantic Council’s Distinguished Leadership Awards,USA,Virtual,Multi-national,12/05/2022,Speech at the atlantic council’s distinguished leadership awards,United States
Address by President of Ukraine Volodymyr Zelenskyy to American students during online communication with the US university community,USA,Virtual,National,16/05/2022,Address to american students during online communication with the us university community,United States
"Today there is a war for freedom again, and again it is necessary for cinematography not to be dumb",France,Virtual,Multi-national,17/05/2022,Address to the filmmaking community at the opening of the 75th cannes international film festival,France
Speech by President of Ukraine Volodymyr Zelenskyy during the joint participation with President of the Republic of Poland Andrzej Duda in the plenary session of the Verkhovna Rada,Poland,In-person,National,22/05/2022,Speech during the joint participation with president of the republic of poland andrzej duda in the plenary session of the verkhovna rada,Poland
We should not be afraid to set new precedents,World Economic Forum members,Virtual,Multi-national,23/05/2022,Speech at the world economic forum in davos,Switzerland
Speech by President of Ukraine Volodymyr Zelenskyy in the Saeima of Latvia,Latvia,Virtual,National,26/05/2022,Speech in the saeima of latvia,Latvia
Russia's war against Ukraine affects global situation,Indonesia,Virtual,National,27/05/2022,Address to the foreign policy community of indonesia (fpci),Indonesia
"Ukrainians and Americans have become much closer: we equally understand the word ""freedom""",USA,Virtual,National,27/05/2022,Adress to the stanford university community,United States
Address by President of Ukraine Volodymyr Zelenskyy to the European Council,European Union,Virtual,Multi-national,30/05/2022,Address to the european council,Belgium
Speech by the President of Ukraine in the Chamber of Deputies of Luxembourg,Luxembourg,Virtual,National,2/06/2022,Speech to the chamber of deputies of luxembourg,Luxembourg
We must respond to all the challenges and dangers that Russia has created against us,"Bratislava, Forum members",Virtual,Multi-national,2/06/2022,Address at the globsec international security forum in bratislava,Slovakia
Don't help Russia justify itself and don't let the murderers call you their brothers and sisters,USA,Virtual,National,4/06/2022,Address to the participants of the 90th annual meeting of the us conference of mayors,United States
Speech by President of Ukraine Volodymyr Zelenskyy at the presentation of the United24 platform in Washington,USA,Virtual,National,4/06/2022,Speech at the presentation of the united24 platform in washington,United States
Address by the President of Ukraine to the guests and participants of the Lithuanian National Film Award Sidabrinė gervė in Vilnius,Lithuania,Virtual,National,5/06/2022,Address at the lithuanian national film award sidabrinė gervė in vilnius,Lithuania
"Political history always goes alongside economic one, and success can be common only",Ukraine,Virtual,Multi-national,8/06/2022,Address to the participants of ukraine virtual investor conference,Ukraine
We must use all our influence and leadership to protect freedom and ensure the defeat of tyranny,"USA, international audience",Virtual,Multi-national,9/06/2022,Speech during the time100 gala,United States
"The world must remove everything that hinders cooperation and development, and Russian aggression is a key obstacle","Australia,  Austria, Belgium, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Latvia, Lithuania, Luxembourg, Netherlands, Norway, Poland, Portugal, Slovak Republic, Slovenia, Spain, Sweden, Switzerland, and the United Kingdom",Virtual,Multi-national,9/06/2022,Address at the opening of the meeting of the organization for economic cooperation and development,Denmark
Democracy can lose on the European continent if words are not backed up by action,Denmark,Virtual,Multi-national,10/06/2022,Address to the participants of the copenhagen democracy summit,Denmark
"Ukraine is fighting for its future, Russia is fighting for someone else's past, which is why we will win",United Kingdom,Virtual,National,10/06/2022,Address to the student community of leading british universities,United Kingdom
"On the battlefield in Ukraine, it is being decided what rules the world will live by","Australia, Brunei, Cambodia, Canada, Chile, China, France, Germany, India, Indonesia, Japan, South Korea, Laos, Malaysia, Mongolia, Myanmar, New Zealand, Pakistan, the Philippines, Russia, Sri Lanka, Sweden, Thailand, Timor-Leste, Ukraine, the United Kingdom, the United States and Vietnam.",Virtual,Multi-national,11/06/2022,"Address at the shangri-la dialogue, the asian security summit",Singapore
Address by the President of Ukraine to the participants of the charity evening organized by CORE,United States,Virtual,Multi-national,12/06/2022,Address to the participants of the charity evening organized by core,United States
Address by President Volodymyr Zelenskyy to the participants of the American Jewish Committee Global Forum,United States,Virtual,National,13/06/2022,Address to the participants of the american jewish committee global forum,United States
Address by the President of Ukraine to both houses of the Parliament of the Czech Republic,Czech Republic,Virtual,National,15/06/2022,Address to both houses of the parliament of the czech republic,Czech Republic
Both Ukraine and the Western Balkans are equally interested in a united Europe,North Macedonia,Virtual,Multi-national,17/06/2022,Address to the participants of the prespa forum dialogue,North Macedonia
The Three Seas Initiative needs the potential of Ukraine,Austria Bulgaria Croatia Czech Republic Estonia Hungary Latvia Lithuania Poland Romania Slovakia Slovenia,Virtual,Multi-national,20/06/2022,Address to the participants of the three seas initiative summit,Latvia
